"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","0","3","1","0.000000","0","0"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","0","6","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","8","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","46","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","46","1","0.000000","0","0"
"/OpenXR/Devices/M_XRController.M_XRController","0","0","9","3","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","0","623","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","0","45","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","30","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","0","2","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","90","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","6","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","72","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","27","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","43","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","571","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/Assets/Materials/RampMaterial.RampMaterial","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/Assets/Materials/M_Lamp.M_Lamp","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/Assets/Materials/CubeMaterial.CubeMaterial","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/NewMaterial.NewMaterial","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/NewMaterial5.NewMaterial5","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/Assets/Materials/M_GlossyConcrete.M_GlossyConcrete","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/NewMaterial3.NewMaterial3","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/NewMaterial1.NewMaterial1","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/Scene_Material1.Scene_Material1","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/NewMaterial4.NewMaterial4","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/ZacD/MAPNAMEHERE/NewMaterial2.NewMaterial2","0","0","3","1","0.000000","0","0"
"/Game/CustomMaps/YOURNAMEHERE/MAPNAMEHERE/Assets/Blueprints/React/M_Rusty_Metal_Barrel.M_Rusty_Metal_Barrel","0","0","3","1","0.000000","0","0"
"/Game/DefaultTextMaterialOpaque1.DefaultTextMaterialOpaque1","0","0","23","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","9","1","0.000000","0","0"
"/Game/CustomMaps/YOURNAMEHERE/MAPNAMEHERE/Assets/Materials/Curly_Palm2_Leaf_Mat.Curly_Palm2_Leaf_Mat","0","0","23","1","0.000000","0","0"
"/Game/CustomMaps/YOURNAMEHERE/MAPNAMEHERE/Assets/Materials/Curly_Palm2_Frond_Mat.Curly_Palm2_Frond_Mat","0","0","23","1","0.000000","0","0"
